property_name,property_code,report_date,unit_number,tenant_name,tenant_id,lease_type,area_sqft,lease_from_date,lease_to_date,term_months,tenancy_years,monthly_rent,monthly_rent_per_sf,annual_rent,annual_rent_per_sf,security_deposit,loc_bank_guarantee,is_vacant,notes
,HMND,2025-04-30,050-B,"Jin Guang
Weng/BR Buffet
Group, Inc.
(t0000963)",,Retail NNN,12500.0,2025-04-11,2035-04-30,121,,14416.67,,,,,,False,
,HMND,2025-04-30,057,Rainbow USA Inc,t0000536,Retail NNN,13837.0,2010-10-01,2026-01-31,184,,12561.91,,,,,,False,
,HMND,2025-04-30,060,"Marshalls of MA,
Inc. (t0000537)",,Retail NNN,25000.0,1985-08-12,2026-01-31,486,,16354.17,,,,,,False,
,HMND,2025-04-30,062,Mattress Firm Inc.,t0000538,Retail NNN,6600.0,2012-08-07,2027-11-30,184,,13915.0,,,,,,False,
,HMND,2025-04-30,099,"Burlington Coat
Factory
Warehouse
Corporation #231
(t0000540)",,Retail NNN,80450.0,1994-06-08,2029-08-31,423,,40560.21,,,,,,False,
,HMND,2025-04-30,0D0,"Jackson Hewitt \
Tax Services of
America, Inc
(t0000541)",,Retail NNN,3910.0,2005-02-01,2027-05-31,268,,3207.03,,,,,,False,
,HMND,2025-04-30,0G0,"Salon Studio
Corporation
(t0000542)",,Retail NNN,9433.0,2005-12-23,2034-08-31,345,,10112.26,,,,,,False,
,HMND,2025-04-30,LAND,"Tasty Delites
Southeast,
LLC/Dunkin
Donuts (t0000950)",,Retail NNN,0.0,2025-04-29,2040-04-30,181,,6666.67,,,,,,False,
,HMND,2025-04-30,020,VACANT,,,1149.0,,,,,,,,,,,True,
,HMND,2025-04-30,042,VACANT,,,6087.0,,,,,,,,,,,True,
,HMND,2025-04-30,055,VACANT,,,5853.0,,,,,,,,,,,True,
,HMND,2025-04-30,064,VACANT,,,810.0,,,,,,,,,,,True,
,HMND,2025-04-30,0B0,VACANT,,,3449.0,,,,,,,,,,,True,
,HMND,2025-04-30,0C0,VACANT,,,2550.0,,,,,,,,,,,True,
,HMND,2025-04-30,0F0,VACANT,,,3067.0,,,,,,,,,,,True,
